"source","target"
"susu UHT","Ultra jaya "
"susu UHT","Greenfields"
"susu UHT","Frisian falg"
"susu UHT","Indolakto"
"susu UHT","Nestle"
"susu UHT","Sukanda jaya"
"susu UHT","Cimory"
"susu coklat cair","Ultra jaya "
"susu coklat cair","Greenfields"
"susu coklat cair","Frisian falg"
"susu coklat cair","Indolakto"
"susu coklat cair","cimory"
"susu coklat cair","Nestle"
"susu coklat cair","Sukanda jaya"
"susu bubuk","Frisian falg"
"susu bubuk","Indolakto"
"susu bubuk","Nestle"
"susu kental manis","Frisian falg"
"susu kental manis","Indolakto"
"susu kental manis","Nestle"
